Compiling /home/azbench/image/run_raftkvs_server.sc
2022/07/02 18:18:26 removing badger files
2022/07/02 18:18:26 persist false
2022/07/02 18:18:26 Monitor: started listening on 10.0.0.4:9000
2022/07/02 18:18:26 relaxed mailboxes started listening on: 10.0.0.4:8000
2022/07/02 18:18:26 fd change state: archetype = 1, old state = uninitialized, new state = alive. Due to rpc call reply
2022/07/02 18:18:26 fd change state: archetype = 3, old state = uninitialized, new state = failed. Due to dial error: dial tcp 10.0.0.6:9000: connect: connection refused
2022/07/02 18:18:26 fd change state: archetype = 2, old state = uninitialized, new state = failed. Due to dial error: dial tcp 10.0.0.5:9000: connect: connection refused
2022/07/02 18:18:26 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 18:18:27 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 18:18:27 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 18:18:27 failed to dial 10.0.0.5:8000, aborting: dial tcp 10.0.0.5:8000: connect: connection refused
2022/07/02 18:18:27 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 18:18:27 failed to dial 10.0.0.5:8000, aborting: dial tcp 10.0.0.5:8000: connect: connection refused
2022/07/02 18:18:27 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 18:18:28 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 18:18:28 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 18:18:28 fd change state: archetype = 2, old state = failed, new state = alive. Due to rpc call reply
2022/07/02 18:18:29 fd change state: archetype = 3, old state = failed, new state = alive. Due to rpc call reply
2022/07/02 18:18:48 failed to dial 10.0.0.7:8033, aborting: dial tcp 10.0.0.7:8033: connect: connection refused
2022/07/02 18:18:48 failed to dial 10.0.0.7:8033, aborting: dial tcp 10.0.0.7:8033: connect: connection refused
2022/07/02 18:18:48 failed to dial 10.0.0.7:8033, aborting: dial tcp 10.0.0.7:8033: connect: connection refused
2022/07/02 18:18:48 failed to dial 10.0.0.7:8033, aborting: dial tcp 10.0.0.7:8033: connect: connection refused
2022/07/02 18:18:48 failed to dial 10.0.0.7:8033, aborting: dial tcp 10.0.0.7:8033: connect: connection refused
2022/07/02 18:18:48 failed to dial 10.0.0.7:8033, aborting: dial tcp 10.0.0.7:8033: connect: connection refused
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 18:18:49 handleConn err = EOF, value = defaultInitValue
