Compiling /home/azbench/image/run_raftkvs_server.sc
2022/07/02 04:09:23 removing badger files
2022/07/02 04:09:23 persist false
2022/07/02 04:09:23 Monitor: started listening on 10.0.0.5:9000
2022/07/02 04:09:23 relaxed mailboxes started listening on: 10.0.0.5:8000
2022/07/02 04:09:23 fd change state: archetype = 2, old state = uninitialized, new state = alive. Due to rpc call reply
2022/07/02 04:09:23 fd change state: archetype = 3, old state = uninitialized, new state = failed. Due to dial error: dial tcp 10.0.0.6:9000: connect: connection refused
2022/07/02 04:09:23 fd change state: archetype = 1, old state = uninitialized, new state = alive. Due to rpc call reply
2022/07/02 04:09:23 failed to dial 10.0.0.6:8000, aborting: dial tcp 10.0.0.6:8000: connect: connection refused
2022/07/02 04:09:24 fd change state: archetype = 3, old state = failed, new state = alive. Due to rpc call reply
2022/07/02 04:09:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:49 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:50 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:09:56 network error during remote value write, aborting: write tcp 10.0.0.5:34286->10.0.0.7:8001: write: broken pipe
2022/07/02 04:09:56 network error during remote value write, aborting: write tcp 10.0.0.5:37136->10.0.0.7:8004: write: broken pipe
2022/07/02 04:09:56 network error during remote value write, aborting: write tcp 10.0.0.5:50346->10.0.0.7:8008: write: broken pipe
2022/07/02 04:09:56 network error during remote value write, aborting: write tcp 10.0.0.5:57452->10.0.0.7:8002: write: broken pipe
2022/07/02 04:09:56 network error during remote value write, aborting: write tcp 10.0.0.5:38304->10.0.0.7:8003: write: broken pipe
2022/07/02 04:09:56 network error during remote value write, aborting: write tcp 10.0.0.5:59660->10.0.0.7:8005: write: broken pipe
2022/07/02 04:09:57 network error during remote value write, aborting: write tcp 10.0.0.5:45080->10.0.0.7:8006: write: broken pipe
2022/07/02 04:09:57 network error during remote value write, aborting: write tcp 10.0.0.5:38748->10.0.0.7:8007: write: broken pipe
2022/07/02 04:10:02 network error during remote value write, aborting: write tcp 10.0.0.5:45078->10.0.0.7:8006: write: broken pipe
2022/07/02 04:10:02 network error during remote value write, aborting: write tcp 10.0.0.5:38746->10.0.0.7:8007: write: broken pipe
2022/07/02 04:11:23 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:23 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:24 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:24 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:26 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:27 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:29 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:29 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:29 received SIGTERM
2022/07/02 04:11:29 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:29 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:29 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:29 handleConn err = EOF, value = defaultInitValue
2022/07/02 04:11:29 archetype 2 finished, err = <nil>
